movie_title,release_date,genre,mpaa_rating,total_gross,Pricce
Billy Bathgate,01-11-1991,Drama,R,15565363,
Beauty and the Beast,13-11-1991,Musical,G,218951625,
Father of the Bride,20-12-1991,Comedy,PG,89325780,
The Hand That Rocks the Cradle,10-01-1992,Thriller/Suspense,R,88036683,
Medicine Man,07-02-1992,Drama,PG-13,44948240,
Blame it on the Bellboy,06-03-1992,Comedy,PG-13,2891055,
Noises Off...,20-03-1992,Comedy,PG-13,2280148,
Straight Talk,03-04-1992,Comedy,PG,21202099,
Newsies,08-04-1992,,PG,2706352,
Passed Away,24-04-1992,,PG-13,4030793,
Encino Man,22-05-1992,Comedy,PG,40057130,
Sister Act,29-05-1992,Comedy,PG,139605150,
Honey I Blew Up the Kid,17-07-1992,Comedy,PG,58662452,
A Stranger Among Us,17-07-1992,Drama,PG-13,12282994,
3 Ninjas,07-08-1992,Action,PG,29028000,
A Gun in Betty Lou's Handbag,21-08-1992,,PG-13,3591460,
Captain Ron,18-09-1992,Comedy,PG-13,22518097,
Sarafina!,18-09-1992,Drama,PG-13,7306242,
Innocent Blood,25-09-1992,Horror,R,4877567,
The Mighty Ducks,02-10-1992,Comedy,PG,50752337,
1492: Conquest of Paradise,09-10-1992,Adventure,PG-13,7099531,
Consenting Adults,16-10-1992,Drama,R,21591728,
Aladdin,11-11-1992,Comedy,G,217350219,
The Distinguished Gentleman,04-12-1992,Comedy,R,46434570,
The Muppet Christmas Carol,11-12-1992,Comedy,G,27281507,
Alive,15-01-1993,Adventure,R,36299670,
Aspen Extreme,22-01-1993,Romantic Comedy,PG-13,7843388,
Homeward Bound: The Incredible Journey,03-02-1993,Adventure,G,41833324,
The Cemetery Club,03-02-1993,Comedy,PG-13,5583621,
Swing Kids,05-03-1993,Musical,PG-13,5632086,
A Far Off Place,12-03-1993,Adventure,PG,12890752,
Born Yesterday,26-03-1993,Romantic Comedy,PG,17760754,
The Adventures of Huck Finn,02-04-1993,Adventure,PG,24103594,
Bound by Honor,16-04-1993,,R,4496583,
Indian Summer,23-04-1993,Comedy,R,14717851,
Super Mario Bros.,28-05-1993,Action,PG,20844907,
Guilty as Sin,04-06-1993,Thriller/Suspense,R,22622537,
Life With Mikey,04-06-1993,Comedy,PG,12349549,
What's Love Got to Do With It,09-06-1993,Drama,R,39100956,
Son in Law,02-07-1993,Comedy,PG-13,25989889,
Hocus Pocus,16-07-1993,Comedy,PG,39360491,
Another Stakeout,23-07-1993,Comedy,PG-13,20107504,
My Boyfriend's Back,06-08-1993,,PG-13,3218882,
Father Hood,27-08-1993,,PG-13,3268203,
The Joy Luck Club,08-09-1993,Drama,R,32790064,
Money for Nothing,10-09-1993,Comedy,R,1044824,
The Program,24-09-1993,Action,R,23042200,
Cool Runnings,01-10-1993,Comedy,PG,68856263,
The Nightmare Before Christmas,13-10-1993,Musical,PG,50408318,
The Three Musketeers,12-11-1993,Adventure,PG,53661805,
Sister Act 2 Back in the Habit,10-12-1993,Comedy,PG,57319029,
Tombstone,25-12-1993,Western,R,56505065,
The Air Up There,07-01-1994,Comedy,PG,20782439,
Cabin Boy,07-01-1994,Comedy,PG-13,3469493,
Iron Will,14-01-1994,Drama,PG,20623071,
Red Rock West,28-01-1994,,R,2502551,
Blank Check,11-02-1994,Comedy,PG,30573770,
Angie,04-03-1994,Comedy,R,9252349,
The Ref,09-03-1994,Comedy,R,11325885,
D2: The Mighty Ducks,25-03-1994,Comedy,PG,45604206,
Holy Matrimony,08-04-1994,Comedy,,713234,
White Fang 2: Myth of the White Wolf,15-04-1994,Adventure,PG,8752399,
The Inkwell,22-04-1994,Comedy,R,8864699,
When a Man Loves a Woman,29-04-1994,Drama,R,50021959,
3 Ninjas Kick Back,06-05-1994,Action,PG,11744960,
Renaissance Man,03-06-1994,Comedy,PG-13,24172899,
The Lion King,15-06-1994,Adventure,G,422780140,
I Love Trouble,29-06-1994,Romantic Comedy,PG,30806194,
Angels in the Outfield,15-07-1994,Comedy,PG,50236831,
